Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
2,1,12203-01,7,8,EAST-WEST,20:00,PM,4,0
2,1,12203-01,7,8,EAST-WEST,08:15,AM,0,0
2,1,12203-01,7,8,EAST-WEST,08:30,AM,6,0
2,1,12203-01,7,8,EAST-WEST,08:45,AM,3,0
2,1,12203-01,7,8,EAST-WEST,11:00,AM,2,0
2,1,12203-01,7,8,EAST-WEST,11:15,AM,5,0
2,1,12203-01,7,8,EAST-WEST,11:30,AM,3,0
2,1,12203-01,7,8,EAST-WEST,11:45,AM,2,0
1,2,12203-01,7,5,EAST-WEST,12:45,PM,2,0
1,2,12203-01,7,5,EAST-WEST,13:00,PM,1,0
1,2,12203-01,7,5,EAST-WEST,13:15,PM,1,0
1,2,12203-01,7,5,EAST-WEST,13:30,PM,4,0
1,2,12203-01,7,5,EAST-WEST,16:45,PM,4,0
1,2,12203-01,7,5,EAST-WEST,17:00,PM,4,0
1,2,12203-01,7,5,EAST-WEST,17:15,PM,1,0
1,2,12203-01,7,5,EAST-WEST,17:30,PM,2,0
1,2,12203-01,7,5,EAST-WEST,07:45,AM,1,0
1,2,12203-01,7,5,EAST-WEST,08:00,AM,4,0
1,2,12203-01,7,5,EAST-WEST,08:15,AM,1,0
1,2,12203-01,7,5,EAST-WEST,08:30,AM,2,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,14:00,PM,54,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,14:15,PM,69,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,14:30,PM,83,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,14:45,PM,62,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,17:15,PM,73,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,17:30,PM,84,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,17:45,PM,96,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,18:00,PM,81,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,07:00,AM,88,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,07:15,AM,110,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,07:30,AM,122,0
100,17:15,NO MATCH FOUND FOR: 'Project_No',8,Old Hwy 90 W,EAST-WEST,07:45,AM,120,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,14:00,PM,56,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,14:15,PM,71,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,14:30,PM,84,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,14:45,PM,64,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,15:45,PM,78,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,16:00,PM,97,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,16:15,PM,81,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,16:30,PM,80,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,07:00,AM,100,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,07:15,AM,108,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,07:30,AM,106,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,8,Old Hwy 90 W,EAST-WEST,07:45,AM,119,0
100,1,12203-01,10,400,EAST-WEST,12:00,PM,0,123
100,1,12203-01,10,400,EAST-WEST,12:15,PM,0,126
100,1,12203-01,10,400,EAST-WEST,12:30,PM,0,146
100,1,12203-01,10,400,EAST-WEST,12:45,PM,0,139
100,1,12203-01,10,400,EAST-WEST,16:45,PM,0,182
100,1,12203-01,10,400,EAST-WEST,17:00,PM,0,211
100,1,12203-01,10,400,EAST-WEST,17:15,PM,0,197
100,1,12203-01,10,400,EAST-WEST,17:30,PM,0,191
100,1,12203-01,10,400,EAST-WEST,06:15,AM,0,147
100,1,12203-01,10,400,EAST-WEST,06:30,AM,0,139
100,1,12203-01,10,400,EAST-WEST,06:45,AM,0,135
100,1,12203-01,10,400,EAST-WEST,07:00,AM,0,128
100,2,12203-01,10,400,EAST-WEST,12:00,PM,0,139
100,2,12203-01,10,400,EAST-WEST,12:15,PM,0,113
100,2,12203-01,10,400,EAST-WEST,12:30,PM,0,150
100,2,12203-01,10,400,EAST-WEST,12:45,PM,0,141
100,2,12203-01,10,400,EAST-WEST,17:00,PM,0,177
100,2,12203-01,10,400,EAST-WEST,17:15,PM,0,188
100,2,12203-01,10,400,EAST-WEST,17:30,PM,0,180
100,2,12203-01,10,400,EAST-WEST,17:45,PM,0,195
100,2,12203-01,10,400,EAST-WEST,06:30,AM,0,160
100,2,12203-01,10,400,EAST-WEST,06:45,AM,0,156
100,2,12203-01,10,400,EAST-WEST,07:00,AM,0,146
100,2,12203-01,10,400,EAST-WEST,07:15,AM,0,165
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,13:30,PM,0,40
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,13:45,PM,0,33
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,14:00,PM,0,31
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,14:15,PM,0,36
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,16:45,PM,0,68
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,17:00,PM,0,73
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,17:15,PM,0,57
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,17:30,PM,0,62
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,07:15,AM,0,30
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,07:30,AM,0,35
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,07:45,AM,0,51
Wednesday,1,12203-01,11,Callagham Rd,EAST-WEST,08:00,AM,0,45
50,2,12203-01,11,150,EAST-WEST,14:00,PM,0,36
50,2,12203-01,11,150,EAST-WEST,14:15,PM,0,32
50,2,12203-01,11,150,EAST-WEST,14:30,PM,0,35
